"C","Mn","Si","P","S","Cr","Ni","Cu","Mg","Rm.as.cast","A5.as.cast","Twardosc"
3.6,0.19,2.4,0.035,0.01,0.001,0.98,0.22,0.058,677.284623809524,7.60937433333331,258
3.6,0.19,2.4,0.035,0.01,0.001,0.98,0.22,0.058,691.407166666667,7.54324433333331,275
3.6,0.19,2.4,0.035,0.01,0.001,0.98,0.22,0.058,673.76409047619,7.66216099999998,248
3.6,0.19,2.4,0.035,0.01,0.001,0.98,0.22,0.058,652.544833333334,9.35095066666665,222
3.6,0.19,2.4,0.035,0.01,0.001,0.98,0.22,0.058,678.552023809524,7.58822433333331,265
3.6,0.19,2.4,0.035,0.01,0.001,0.98,0.22,0.058,653.296833333334,9.31444399999999,226
3.6,0.19,2.4,0.035,0.01,0.001,0.98,0.22,0.058,690.5693,7.54324433333331,270
3.6,0.19,2.4,0.035,0.01,0.001,0.98,0.22,0.058,670.902857142857,7.72465433333331,245
3.3,0.1,2.2,0.02,0.012,0.001,1.49,1.03,0.055,759.968366666667,5.68409233333332,361
3.7,0.18,2.45,0.035,0.015,0.001,0.49,0.59,0.055,751.138733333333,5.81279266666667,299
3.3,0.1,2.2,0.02,0.012,0.001,1.49,1.03,0.055,759.968366666667,5.68409233333332,368
3.7,0.18,2.45,0.035,0.015,0.001,0.49,0.59,0.055,771.2876,5.43748866666667,371
3.3,0.1,2.2,0.02,0.012,0.001,1.49,1.03,0.055,744.2063,5.76894866666666,312
3.7,0.18,2.45,0.035,0.015,0.001,0.49,0.59,0.055,761.734966666667,5.690696,315
3.3,0.1,2.2,0.02,0.012,0.001,1.49,1.03,0.055,737.983357142857,6.05423066666666,258
3.7,0.18,2.45,0.035,0.015,0.001,0.49,0.59,0.055,750.749133333333,5.97860133333333,281
3.3,0.1,2.2,0.02,0.012,0.001,1.49,1.03,0.055,737.224690476191,6.08363066666666,248
3.7,0.18,2.45,0.035,0.015,0.001,0.49,0.59,0.055,749.814333333333,6.189094,268
3.3,0.1,2.2,0.02,0.012,0.001,1.49,1.03,0.055,741.7158,5.77514533333332,294
3.7,0.18,2.45,0.035,0.015,0.001,0.49,0.59,0.055,750.749133333333,5.942198,285
3.3,0.1,2.2,0.02,0.012,0.001,1.49,1.03,0.055,723.000923809524,7.75405523809522,228
3.7,0.18,2.45,0.035,0.015,0.001,0.49,0.59,0.055,744.550023809524,6.196574,253
3.3,0.1,2.2,0.02,0.012,0.001,1.49,1.03,0.055,715.3928,7.75165857142856,221
3.7,0.18,2.45,0.035,0.015,0.001,0.49,0.59,0.055,743.173157142857,6.199874,249
3.3,0.1,2.2,0.02,0.012,0.001,1.49,1.03,0.055,735.647290476191,6.22620733333332,238
3.7,0.18,2.45,0.035,0.015,0.001,0.49,0.59,0.055,723.562433333333,7.40102366666666,226
